created_at,text
2020-03-13T15:42:04+00:00,"#Coronavirus || Cambia la forma de saludar, no lo hagas de mano, beso o abrazo. Así evitas contagiar o contagiarte de alguna infección respiratoria.
¡La clave en la lucha contra el #Coronavirus es la prevención! #Movilnet #LaSeñalQueNosUne https://t.co/Xm2UYNFpnn"
2020-03-13T15:41:55+00:00,HABEMUS COVID_19
2020-03-13T15:39:45+00:00,CUIDADO ESL CORONAVIRUS NO ES JUEGO en Los Teques https://t.co/ksGnwFvcAe
2020-03-13T15:39:39+00:00,"Le pedimos a la @opsoms que atienda el caso de Venezuela, nos ayude con insumos y dotaciones medica ante el Coronavirus en nuestro país. Es importante la unión de todos para evitar que se propague la enfermedad en todo el territorio nacional. #13Mar"
2020-03-13T15:39:26+00:00,"A partir de éste momento, los que hace una semana, compraron todos los tapabocas existentes en las farmacias de San Felipe #Yaracuy, comenzaran a venderlos a precios exorbitantes. #Covid_19"
2020-03-13T15:39:26+00:00,"#13Mar  confirman dos casos de #Covid_19 en #Venezuela. No entremos en pánico, ocupemonos por tomar las medidas de prevención y estar Informados  de las noticias al día. https://t.co/Z3aunaDAZM"
2020-03-13T15:37:54+00:00,"#Covid_19 Acaban de informar de 2 casos en Caracas. Tenemos que mantener medidas igienicas y amigos del municipio sucre nos avisan que amanecieron  sin Agua.
Por favor"
2020-03-13T15:36:10+00:00,Gobernadora del estado Táchira @laidygomezf da declaraciones con relación de las acciones que tomará el gobiernotachira con relación al Coronavirus (Covid19) para la protección de toda la colectividad jaiberth26… https://t.co/dfH0rUAoXR
2020-03-13T15:35:30+00:00,"PSICOSIS NIVEL: Hoy estornudé y por dos segundos dije ¿coronavirus?. 

- ¡NO CLAUDIA, no tienes coronavirus!"
2020-03-13T15:35:13+00:00,En Venezuela se conforman dos casos de #Covid_19 y se suspenden a partir del próximo lunes 16 de Marzo las actividades escolares en todos sus niveles.
2020-03-13T15:34:15+00:00,"Y después de tanto yo decirlo por esta vía, tenían que esperar que la doña hablara en cadena? #COVID2019 que conveniente que ante las marchas por fin digan que si hay #coronavirus en fin, más tiempo en el poder qué casualidad!"
2020-03-13T15:33:52+00:00,"@la_patilla Te dicen: ""Eso es mentira de Maduro, aquí no hay ni test para detectar el coronavirus"".

Y añaden ""Y ya hay casos, una tía de un hermano de un primo q trabaja en el hospital tal, dijo q hay 3 pacientes q dieron positivo""

¿En qué dieron positivo si supuestamente no hay ni test?"
2020-03-13T15:33:43+00:00,En la imagen... #sos #dona #tapabocas #cancer #niños #stopcancer #coronavirus #Barquisimeto #Bqto #Venezuela #voluntariado #lamovidapositiva @movidapositivav #juntospodemoshacermasbien #ActuandoEnPositivo en… https://t.co/Vltvxna44P
2020-03-13T15:32:57+00:00,"Bueno hermanos venezolanos y Venezuela 
Hay tenemos esta pesadilla y terrible amenaza el coronavirus, YA NO ES MADURO NI GUAIDO,  ES VENEZUELA 🇻🇪 🇻🇪 https://t.co/mbYcESde4K"
2020-03-13T15:32:30+00:00,"En la imagen...

#sos #dona #tapabocas #cancer #niños #stopcancer #coronavirus #Barquisimeto #Bqto #Venezuela #voluntariado #lamovidapositiva @movidapositivav #juntospodemoshacermasbien #ActuandoEnPositivo en… https://t.co/HeaSZM5pR6"
2020-03-13T15:32:14+00:00,A raiz del Coronavirus fue que supe que no sabia lavarme las manos. 😐😳
